Time,Open,High,Low,Close,Volume
2024-02-27,1231.0,1242.5,1230.5,1241.0,179208
2024-02-28,1242.9,1266.2,1241.6,1266.2,224084
2024-02-29,1266.2,1271.4,1255.3,1262.8,218472
2024-03-01,1265.0,1268.7,1259.1,1266.8,182964
2024-03-04,1270.2,1272.0,1263.5,1268.4,155236
2024-03-05,1266.7,1278.6,1264.2,1278.5,173437
2024-03-06,1277.4,1282.0,1255.1,1266.8,248155
2024-03-07,1267.8,1278.2,1264.2,1273.4,226526
2024-03-08,1274.5,1276.0,1249.5,1253.8,341569
2024-03-11,1250.3,1254.5,1231.0,1231.0,220566
2024-03-12,1232.9,1243.0,1232.0,1239.8,228488
2024-03-13,1241.0,1273.7,1240.4,1271.3,245044
2024-03-14,1271.5,1273.0,1252.7,1260.8,253064
2024-03-15,1257.1,1266.5,1242.1,1260.0,297841
2024-03-18,1257.5,1259.4,1218.9,1230.9,349568
2024-03-19,1232.8,1235.3,1224.4,1230.0,255708
2024-03-20,1233.0,1262.0,1228.0,1255.5,289691
2024-03-21,1260.2,1275.7,1260.2,1275.7,179921
2024-03-22,1286.5,1294.2,1275.7,1284.5,270641
2024-03-25,1281.0,1287.6,1267.5,1268.9,225890
2024-03-26,1268.0,1290.3,1265.6,1285.0,210720
2024-03-27,1286.0,1289.4,1279.6,1288.0,194509
2024-03-28,1295.6,1306.9,1294.5,1306.9,196706
2024-03-29,1306.2,1307.3,1295.3,1298.1,188233
2024-04-01,1293.0,1299.4,1283.2,1290.4,223772
2024-04-02,1284.7,1291.9,1274.3,1290.0,270424
2024-04-03,1284.8,1288.0,1269.4,1271.9,241209
2024-04-04,1275.9,1280.3,1265.0,1265.0,260485
2024-04-05,1254.0,1264.8,1252.0,1252.1,229109
2024-04-08,1256.1,1259.4,1247.2,1254.2,214820
2024-04-09,1257.5,1264.3,1254.2,1264.2,167195
2024-04-10,1265.0,1272.9,1259.3,1260.1,200459
2024-04-11,1251.0,1264.8,1250.8,1263.0,193451
2024-04-12,1265.7,1286.0,1260.1,1286.0,255196
2024-04-15,1281.5,1286.8,1232.6,1236.3,310619
2024-04-16,1234.9,1237.8,1213.0,1230.0,385513
2024-04-17,1233.8,1233.9,1206.8,1214.6,244121
2024-04-19,1201.4,1211.1,1191.7,1191.7,343787
2024-04-22,1200.0,1215.3,1200.0,1205.3,276424
2024-04-23,1209.3,1212.3,1188.6,1200.6,304365
2024-04-24,1207.9,1234.5,1207.1,1230.5,297553
2024-04-25,1226.8,1230.5,1221.3,1227.0,244018
2024-04-26,1221.6,1241.0,1220.7,1232.4,326266
2024-05-02,1230.2,1242.4,1230.0,1242.4,210606
2024-05-03,1250.0,1254.9,1246.6,1249.6,194260
2024-05-06,1256.2,1275.5,1256.2,1270.0,210181
2024-05-07,1273.0,1277.5,1266.2,1276.0,205385
2024-05-08,1273.0,1279.0,1261.3,1279.0,262214
2024-05-09,1277.0,1281.9,1267.1,1269.0,235911
2024-05-10,1274.2,1280.3,1259.0,1270.4,292561
2024-05-13,1271.6,1274.6,1261.9,1266.0,198589
2024-05-14,1269.2,1279.1,1269.2,1274.4,218730
2024-05-15,1277.4,1293.4,1277.3,1286.1,202500
2024-05-16,1295.1,1311.0,1294.2,1309.8,180049
2024-05-17,1306.8,1308.2,1301.9,1307.9,176193
2024-05-20,1314.9,1319.8,1310.1,1310.1,156958
2024-05-21,1307.7,1312.1,1297.2,1312.1,176275
2024-05-22,1310.3,1312.3,1287.5,1292.2,233304
2024-05-23,1289.0,1300.0,1283.0,1300.0,240848
2024-05-24,1293.4,1303.6,1271.4,1277.7,332204
2024-05-27,1279.5,1281.9,1272.6,1276.2,199393
2024-05-28,1279.7,1292.5,1279.7,1292.5,208216
2024-05-29,1292.0,1292.3,1275.8,1277.5,248299
2024-05-30,1269.9,1271.0,1256.5,1270.0,251791
2024-05-31,1270.5,1275.2,1266.7,1270.0,202776
2024-06-03,1283.0,1298.4,1280.7,1291.5,194507
2024-06-04,1292.6,1302.6,1291.2,1295.0,204490
2024-06-05,1301.4,1309.5,1295.0,1295.0,202210
2024-06-06,1295.5,1306.2,1292.1,1298.7,244822
2024-06-07,1306.3,1309.4,1298.2,1308.0,228346
2024-06-10,1313.0,1314.0,1305.2,1310.9,170460
2024-06-11,1314.9,1315.3,1300.3,1305.0,218652
2024-06-12,1302.2,1332.0,1301.4,1330.7,233663
2024-06-13,1331.0,1338.6,1324.9,1335.0,204875
2024-06-14,1333.5,1335.9,1317.0,1317.0,203206
2024-06-17,1315.5,1315.8,1305.3,1308.0,218205
2024-06-18,1312.7,1322.4,1308.5,1308.5,221206
2024-06-19,1309.8,1325.0,1298.8,1317.0,278025
2024-06-20,1317.6,1327.8,1316.7,1323.7,217494
2024-06-21,1322.6,1323.4,1311.7,1320.9,250436
2024-06-24,1314.0,1317.3,1285.5,1290.7,295592
2024-06-25,1293.9,1294.0,1280.1,1287.7,248091
2024-06-26,1288.0,1291.8,1275.0,1290.0,247917
2024-06-27,1285.0,1291.7,1280.8,1289.0,210340
2024-06-28,1291.2,1292.8,1272.5,1274.3,233786
2024-07-01,1277.7,1285.8,1271.7,1285.0,180350
2024-07-02,1284.7,1299.0,1283.5,1295.2,227798
2024-07-03,1297.1,1309.5,1294.5,1307.0,178940
2024-07-04,1307.0,1313.3,1303.5,1308.6,169997
2024-07-05,1308.5,1316.5,1307.2,1316.3,193932
2024-07-08,1317.1,1317.9,1305.6,1314.0,180789
2024-07-09,1316.2,1321.9,1304.5,1320.5,245797
2024-07-10,1318.9,1321.9,1309.7,1310.0,208531
2024-07-11,1316.0,1317.9,1305.7,1305.7,188274
2024-07-12,1304.9,1310.0,1298.2,1300.0,207768
2024-07-15,1302.0,1305.6,1292.7,1299.0,142679
2024-07-16,1301.5,1308.7,1299.1,1302.7,179097
2024-07-17,1309.0,1321.8,1294.7,1303.2,271434
2024-07-18,1303.1,1305.0,1287.9,1297.5,208453
2024-07-19,1304.6,1311.2,1295.3,1297.1,224764
2024-07-22,1291.3,1304.4,1291.3,1300.0,271237
2024-07-23,1301.5,1303.7,1280.1,1284.2,212407
2024-07-24,1283.3,1287.4,1273.3,1283.5,251117
2024-07-25,1276.9,1278.9,1270.7,1276.6,207369
2024-07-26,1278.7,1285.0,1276.8,1285.0,164109
2024-07-29,1289.9,1294.7,1287.8,1287.8,136991
2024-07-30,1286.1,1292.4,1284.2,1292.4,174782
2024-07-31,1292.0,1304.3,1291.1,1304.3,204305
2024-08-01,1305.5,1306.2,1271.0,1275.0,254539
2024-08-02,1266.2,1277.5,1256.3,1275.9,270992
2024-08-05,1256.8,1262.8,1227.3,1233.0,365512
2024-08-06,1244.7,1256.0,1237.2,1249.6,276124
2024-08-07,1252.3,1255.5,1245.7,1250.0,240957
2024-08-08,1248.4,1251.3,1237.4,1240.1,259664
2024-08-09,1249.1,1266.2,1247.7,1264.9,245595
2024-08-12,1262.5,1270.4,1258.7,1270.0,226422
2024-08-13,1269.0,1270.1,1262.7,1267.0,197966
2024-08-14,1270.9,1273.7,1268.0,1268.0,178768
2024-08-15,1268.0,1269.7,1263.4,1267.7,113347
2024-08-16,1271.5,1289.9,1268.2,1288.0,226139
2024-08-19,1289.0,1300.6,1288.3,1298.0,193428
2024-08-20,1301.6,1308.8,1298.3,1302.0,198896
2024-08-21,1300.8,1314.5,1297.2,1312.4,222394
2024-08-22,1312.7,1316.7,1310.3,1314.2,187742
2024-08-23,1311.6,1318.7,1310.1,1315.3,182558
2024-08-26,1320.8,1323.1,1316.2,1317.0,152172
2024-08-27,1316.9,1323.7,1315.2,1321.8,155914
2024-08-28,1320.6,1324.6,1317.0,1322.1,166593
2024-08-29,1321.1,1330.1,1320.6,1326.8,165014
2024-08-30,1328.4,1334.9,1328.0,1332.7,123214
2024-09-04,1320.8,1321.5,1307.3,1314.0,174577
2024-09-05,1316.1,1318.6,1304.7,1307.7,168132
2024-09-06,1307.6,1311.3,1305.6,1309.0,150932
2024-09-09,1299.2,1308.9,1298.6,1307.7,154452
2024-09-10,1310.8,1313.6,1289.4,1294.1,201089
2024-09-11,1294.5,1297.3,1286.6,1293.0,203153
2024-09-12,1300.0,1303.1,1297.5,1297.5,161290
2024-09-13,1299.8,1300.1,1291.4,1294.1,193614
2024-09-16,1297.0,1297.4,1282.0,1282.0,168579
2024-09-17,1283.0,1305.8,1282.2,1305.8,184639
2024-09-18,1305.0,1318.5,1303.2,1311.9,217453
2024-09-19,1314.0,1320.0,1312.6,1316.9,120772
2024-09-20,1329.7,1338.3,1327.7,1330.0,176316
2024-09-23,1331.0,1332.5,1324.8,1325.5,129848
2024-09-24,1326.0,1335.1,1322.2,1335.0,165206
2024-09-25,1337.3,1349.9,1336.9,1344.0,181546
2024-09-26,1345.9,1366.5,1345.2,1356.4,224658
2024-09-27,1358.1,1363.7,1350.9,1355.5,223507
2024-09-30,1352.6,1357.0,1349.8,1357.0,142566
2024-10-01,1361.5,1374.4,1360.0,1360.0,196265
2024-10-02,1354.0,1361.3,1351.8,1357.1,183117
2024-10-03,1360.2,1376.9,1349.0,1349.0,299248
2024-10-04,1351.7,1352.4,1343.0,1343.0,205763
2024-10-07,1347.5,1349.4,1332.0,1340.0,203411
2024-10-08,1340.0,1349.4,1336.7,1341.7,223912
2024-10-09,1344.1,1358.4,1342.4,1358.3,212569
2024-10-10,1363.2,1373.4,1362.4,1366.2,208963
2024-10-11,1365.9,1368.0,1358.5,1366.6,171571
2024-10-14,1375.6,1376.8,1358.6,1359.0,210937
2024-10-15,1360.1,1369.6,1354.5,1358.0,232647
2024-10-16,1355.7,1359.4,1352.2,1354.6,172304
2024-10-17,1358.0,1361.5,1347.4,1358.3,162347
2024-10-18,1374.6,1377.9,1363.8,1365.9,257597
2024-10-21,1364.0,1369.9,1362.5,1363.9,165731
2024-10-22,1360.0,1363.3,1350.0,1352.2,195825
2024-10-23,1353.0,1355.4,1345.1,1354.0,210171
2024-10-24,1352.5,1354.1,1336.1,1338.0,233341
2024-10-25,1338.5,1339.8,1327.0,1327.2,225954
2024-10-28,1330.0,1332.3,1327.2,1332.0,130396
2024-10-29,1334.0,1341.0,1334.0,1339.4,163921
2024-10-30,1341.6,1342.7,1331.5,1342.0,186935
2024-10-31,1339.0,1347.8,1333.7,1343.5,202412
2024-11-01,1340.4,1340.4,1326.6,1330.4,215622
2024-11-04,1332.8,1332.8,1317.1,1318.5,213803
2024-11-05,1319.3,1324.0,1317.4,1319.0,141942
2024-11-06,1325.0,1341.0,1324.0,1341.0,214690
2024-11-07,1342.0,1343.6,1333.8,1334.7,190000
2024-11-08,1337.5,1340.3,1318.3,1324.0,220730
2024-11-11,1323.6,1323.6,1306.1,1320.1,233348
2024-11-12,1321.1,1323.5,1302.7,1310.0,246518
2024-11-13,1305.7,1313.1,1298.2,1307.3,265220
2024-11-14,1306.0,1309.9,1292.9,1292.9,251523
2024-11-15,1292.7,1292.7,1275.6,1275.6,253262
2024-11-18,1271.5,1280.3,1261.8,1273.2,245512
2024-11-19,1272.4,1274.8,1262.3,1262.3,264978
2024-11-20,1260.8,1280.0,1253.5,1270.0,321613
2024-11-21,1267.8,1283.4,1264.6,1281.3,215702
2024-11-22,1294.7,1301.8,1291.3,1298.0,236501
2024-11-25,1298.6,1300.9,1294.3,1298.4,178367
2024-11-26,1296.1,1311.9,1296.1,1307.0,195991
2024-11-27,1307.6,1309.0,1304.2,1307.8,143016
2024-11-28,1310.1,1318.7,1305.2,1305.5,198983
2024-11-29,1305.0,1318.5,1304.3,1318.0,164253
2024-12-02,1322.6,1323.6,1309.3,1313.5,149505
2024-12-03,1315.9,1318.3,1305.4,1314.0,223527
2024-12-04,1312.4,1312.8,1302.8,1303.0,208332
2024-12-05,1303.8,1345.3,1302.2,1345.0,297034
2024-12-06,1342.6,1348.9,1340.6,1342.0,184495
2024-12-09,1342.0,1351.3,1336.0,1339.9,168006
2024-12-10,1339.9,1345.5,1336.6,1343.0,179091
2024-12-11,1340.6,1347.7,1333.2,1338.6,186063
2024-12-12,1341.0,1351.4,1337.1,1339.5,216243
2024-12-13,1336.0,1339.1,1330.1,1335.0,193173
2024-12-16,1333.0,1338.3,1327.6,1335.0,167440
2024-12-17,1336.6,1336.6,1326.5,1331.0,175709
2024-12-18,1328.7,1335.0,1328.7,1331.0,141632
2024-12-19,1315.3,1322.0,1311.6,1312.3,171590
2024-12-20,1316.5,1321.2,1314.5,1321.2,136294
2024-12-23,1325.8,1331.3,1325.7,1328.0,112403
2024-12-24,1325.5,1328.4,1321.7,1328.0,129482
2024-12-25,1333.6,1355.6,1332.0,1350.1,214617
2024-12-26,1350.9,1351.2,1347.2,1350.7,114315
2024-12-27,1352.9,1357.5,1348.5,1348.5,122457
2024-12-30,1346.8,1347.4,1342.0,1345.2,94688
2024-12-31,1344.9,1352.1,1344.5,1345.5,134784
